track_id,name,count,album,artist_1,artist_2,artist_3,duration_ms,explicit,genre_1,genre_2,genre_3,genre_4,genre_5
2CwowPWGOIqdAGw7p66ZYD,Help is on the Way,1,Hideaway,Wavves,,,203140,True,,,,,
7paZrHwjeETQK0NhcJMplQ,Marine Life,1,Hideaway,Wavves,,,125278,False,,,,,
5lNijPYeNgTuvf1eqWTota,Wasted Days,1,Attack On Memory,Cloud Nothings,,,534120,False,,,,,
5n0xRbvoK0mgaGO4xylyFY,Gay Human Bones,1,Hippies,Harlem,,,211360,False,,,,,
08mEHKuCfCJeRyrJ6x7smE,Mess Me Around,1,Our House on the Hill,The Babies,,,135392,False,,,,,
1CrSOYgDKMg2aU48FmRFsQ,Crashed My Bike,1,Crashed My Bike,Sun Room,,,183200,False,,,,,
6K5GAopLZzzg0ZX8k5GWwh,The Start Of Something,2,Raised By Wolves EP,Voxtrot,,,271746,False,,,,,
0usxQA2FN1YMjDU3VLBkdJ,Someday Soon,1,Hippies,Harlem,,,159773,False,,,,,
4DkeNKHcmZo2Z0Eb1XcaNC,Go Down on You,1,Love Is the Law,The Memories,,,60693,False,,,,,
3WssH18DMS5PugSO20LSjA,Be Your Baby,1,Hippies,Harlem,,,132026,False,,,,,
4XjXXK9GhDdMVR8xMKZLih,All Die Young,1,Dye It Blonde,Smith Westerns,,,226693,False,,,,,
14q1CWouLEjFT6zu5re8hR,Sick Shit,1,Badillac,Together Pangea,,,246946,True,,,,,
60ooMa1yzfKIl1Nf4O1GI5,Raised By Wolves,1,Raised By Wolves EP,Voxtrot,,,280613,False,,,,,
6UMuRxaMoUbL6y5ORErykc,Spanway Hits,1,"When You Land Here, It's Time to Return (2014 Remix/Remaster)",Flake Music,,,145013,False,,,,,
0Xmz2shisTG8peoqnFj5tu,Sarah,1,Trick,Alex G,,,176146,False,indie folk,bedroom pop,indie,indie rock,folk
6cUcoLNlWP05KpaJXaXG7g,Sex Tourists,1,Swimming,French Kicks,,,211786,False,,,,,
5vtRk4rYxiy4cj95cmJ5Ma,Dramamine,2,This Is a Long Drive for Someone with Nothing to Think About,Modest Mouse,,,342000,False,indie rock,indie,alternative,chill,rock
6YWtvUPKgCYSiPDBuAjj0Q,Crust Bucket,1,The Frights,The Frights,,,259239,False,,,,,
60Cb8X0ARzviyHq4QZMoK5,Kids,1,You Are Going to Hate This,The Frights,,,174404,False,,,,,
5mGFZjhHZWImHG3z0OEuPa,Wrong or Right,1,Wrong or Right,Surf Trash,,,163165,False,,,,,
6kWJmAcO6ACVbuGoomBHCc,Seeker,1,Diving,Buddie,,,244053,False,,,,,
0da8z3hA1tZGF9L8tgiKSY,Our Paradise,1,Our Paradise,The Terrys,,,184000,False,,,,,
5DpBSlI8JzwTaSW2Z9LUIN,Washed Out,1,Washed Out / Ride,The Grogans,,,210369,False,,,,,
7rK8ZR9VwO9pGPCFUev1ig,Pesos,1,Pesos,The Terrys,,,120810,True,,,,,
0sSVTKSPiim06zGApr2NC1,Sun Medallion,1,Was Dead,King Tuff,,,150713,False,,,,,
4THAujQcvNiy4Mf2BIho7I,Say What You Think,1,Lame Fiction,Pops Tuna,,,160500,False,,,,,
2sYFfxV3PYhSAH1WzM3paU,Before the Flood,1,OCEANSIDE,Field Daze,,,207802,False,,,,,
2xppSohLyG5a3YnQZXXcM6,I Don't Want To Wait Around For Yesterday,1,OCEANSIDE,Field Daze,,,235511,False,,,,,
3FP8JS6yRlSyyF32AAzuFv,9-5,1,OCEANSIDE,Field Daze,,,170814,False,,,,,
0N4AdpYXNxXxOnqxNlnrox,Wanted,1,OCEANSIDE,Field Daze,,,276533,False,,,,,
1FKZyFHdqh1guZ0zk1WCzu,"Going Going, Gone",1,"Going Going, Gone/Racecar Bed",Sept,,,279028,False,,,,,
2gqC6x43vuRnhyLQaCmVTa,Margarita,1,My Own Mess,Skegss,,,173110,False,,,,,
4nDNBNtNoRpafeg6l0EUBo,So Slowly,1,Existential,Makeout Reef,,,268866,False,,,,,
1owTbqmA5XMxVoTUDrTvw7,Wasted Time,1,Wasted Time / Sunshine,Goth Babe,,,158080,False,,,,,
5tsB5ROYUKKisUaJQIEEfv,Psychics in LA,1,You and Your Friends (Deluxe),Peach Pit,,,206733,False,,,,,
59JOMc9A6w8CkIHgs4kfNl,Chagu's Sideturn,1,Being So Normal,Peach Pit,,,210106,True,,,,,
0bmBy2JCD4y3VWROmuh3ts,The Art School Kids,1,Atelophobia,Slow Hollows,,,146360,False,,,,,
1gpBDeONibvJyQYEv5HJh9,Drop the Guillotine,1,Being So Normal,Peach Pit,,,219960,False,,,,,
51upEtQ3JMYUQwRTEqHHoz,Labyrinth,1,Heaven Surrounds You,Surf Curse,,,188876,False,,,,,
2wH52gGTG6rBVWSc6aEczN,Black Licorice,1,You and Your Friends,Peach Pit,,,219826,True,,,,,
00CqEmnPLFKDhAb3cuu6Cs,Halo,2,Melophobia,Cage The Elephant,,,177960,False,,,,,
0Cuqg9csnQTN24dioMJciZ,The Strange and the Kind,1,Nothing Yet,Surf Curse,,,181316,False,,,,,
1p65J6pUtctKgmftkWkMRI,You and Your Friends,1,You and Your Friends,Peach Pit,,,236653,False,,,,,
62JKrZgSOB9PyiwtHurRJ0,Of Age,1,You Are Going to Hate This,The Frights,,,263575,False,,,,,
4oD8WLd2vnV8ioZ7TdZz9J,Denny's Garage,1,You and Your Friends (Deluxe),Peach Pit,,,215733,False,,,,,
5r5Lj2MkgwQJz6TaBdL865,Spiderhead,2,Melophobia,Cage The Elephant,,,222813,False,,,,,
5ck1miitoRTdHXS9dvQ6qh,Puppy Grin,1,You and Your Friends,Peach Pit,,,171080,False,,,,,
43O3Iu8mDJy10i6k8SVRXX,Take It or Leave It,1,Melophobia,Cage The Elephant,,,207320,False,,,,,
1kYeSrhC31XWoqj8WIZty1,Doom Generation,1,Nothing Yet,Surf Curse,,,145625,False,,,,,
4IkSdvxP1qkggSKQCvzQc7,July,1,July,Blue Hour,,,233021,False,,,,,
46NfpEod0EE2LmSXO8WOep,The Highest Praise (with Vision),1,Healing - Live In Detroit (with Vision),Richard Smallwood,Vision,,244440,False,,,,,
4zymWHnRxyqE1cgzUYsoA8,God Is Worthy,1,Richard Smallwood With Vision - The Praise & Worship Songs of Richard Smallwood (with Vision),Richard Smallwood,,,194733,False,,,,,
0KlCaVENfMCmJXh4zNcVqB,Bless The Lord,1,Setlist: The Very Best Of Richard Smallwood LIVE,Richard Smallwood,,,365520,False,,,,,
7mqEjKUiNZUfsDD9QQHqaw,Trust In God - Radio Version,1,Trust In God (Radio Version),Elevation Worship,,,243715,False,,,,,
74W7WOaTFCKjCtcy05lAD0,I Will Sing Praises,1,Adoration,Richard Smallwood,,,358933,False,,,,,
4fDlfuz3uAlBMXdKw5M3yy,Holy Spirit,1,Portrait,Richard Smallwood,,,412533,False,,,,,
4eJ6pWefeAQjpMKTY6bwXV,Devil Town,1,Noise Floor (Rarities: 1998-2005),Bright Eyes,,,183240,False,,,,,
4asjU3sDnn3002bTJIg2vZ,Missed the Boat,1,We Were Dead Before The Ship Even Sank,Modest Mouse,,,264813,False,,,,,
1EuvOdyyzhFUP2z3gfr6xz,Hold On,1,Boys & Girls,Alabama Shakes,,,226186,False,,,,,
687YZan9Gol1UVvbpUSO6Y,I Wish,1,Songs In The Key Of Life,Stevie Wonder,,,252373,False,funk,soul,70s,motown,funky
4dBI72rgkmG0gTzswyBTzz,Sweet Thing - 1999 Remaster,1,Astral Weeks,Van Morrison,,,265546,False,,,,,
4KjdLo9JWJEKYoAJ8spkat,Keep the Car Running,1,Neon Bible,Arcade Fire,,,209093,False,,,,,
3i25w2HOWoafnTIiWJCL71,Fool in the Rain - Remaster,1,In Through the out Door (Remaster),Led Zeppelin,,,370920,False,,,,,
1VPUpUwtbpoRVXt0txVU0w,S.O.B.,1,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,,,247613,True,,,,,
3rq5w4bQGigXOfdN30ATJt,Do I Wanna Know?,1,AM,Arctic Monkeys,,,272394,False,indie rock,indie,alternative,rock,arctic monkeys
6wpGqhRvJGNNXwWlPmkMyO,I Still Haven't Found What I'm Looking For,2,The Joshua Tree (Super Deluxe),U2,,,277476,False,,,,,
1yKu2MhpwzDXXH2tzG6xoa,Beverly Hills,3,Make Believe,Weezer,,,196093,False,alternative rock,rock,alternative,weezer,indie
0RFgvrhkf9FiDRLA0BhzpZ,Drift Away,1,No Stranger to Shame,Uncle Kracker,,,255560,False,,,,,
5qII2n90lVdPDcgXEEVHNy,Sunday Morning,5,Songs About Jane: 10th Anniversary Edition,Maroon 5,,,244880,False,pop,maroon 5,rock,pop rock,alternative
4r6nfH8MlWFLGXRpaNmfcv,Nova Scotia 500,4,Goose Bumps,Boyscott,,,192542,False,,,,,
5M4yti0QxgqJieUYaEXcpw,Eventually,5,Currents,Tame Impala,,,318591,False,psychedelic pop,Psychedelic Rock,synthpop,WSUM 91.7 FM Madison,psychedelic
51Lf3l6wx008NdBxCQnD6B,Ode to a Conversation Stuck in Your Throat,2,Del Water Gap,Del Water Gap,,,199232,True,folk,country,indie,alternative,good left undone
7yNf9YjeO5JXUE3JEBgnYc,Babydoll,2,"Don't Forget About Me, Demos",Dominic Fike,,,97960,False,chill,alternative,Bmson,indie,pop
0mUyMawtxj1CJ76kn9gIZK,Bad Day,1,Daniel Powter,Daniel Powter,,,233640,False,,,,,
2LZ2CNbcbJrwh53pitRgom,Silver Soul,1,Teen Dream,Beach House,,,298680,False,dream pop,Dreamy,indie pop,indie,female vocalists
4yEw9bcmDHgIgqe8BCyDWy,Electric U,1,Electric U,Kid Bloom,,,171696,False,,,,,
7fJALFBexDXzu0QdatF5O4,Fumes,1,i think you think too much of me,EDEN,gnash,,214631,False,,,,,
50PyquzZ9BaBwLZZd1AuuV,Close To You,1,Harmony House,Dayglow,,,194693,False,,,,,
2kJqNHHGOzLNahukdvlDWN,Drive,1,Oh Wonder,Oh Wonder,,,196465,False,,,,,
6CES1554HcWMIVroJfmmBm,Way It Goes,2,Landmark,Hippo Campus,,,245456,True,,,,,
5l60Z7gXN9MhAyhdZdy3uA,Never A Good Time,1,NOTED...EP,NOTD,The Band CAMINO,,167232,False,,,,,
4ddm8wMOno5nihxLPACKXV,A Toast and a Spirit,1,"Girl, Say",Vacation Manor,,,209453,False,,,,,
4MIPNDbxVPWdLwH6A4nsiY,There's Still A Light In The House,1,MAYBE,Valley,,,203106,False,,,,,
7bhSQqbyUvFVfmXgkF028O,Violet,1,Disappear Here,Bad Suns,,,198400,False,,,,,
7kawe8FXEwCA8ZGljVEqe4,I Want It All,1,Dreamland,COIN,,,171773,False,,,,,
4djIFfof5TpbSGRZUpsTXq,Talk Too Much,3,How Will You Know If You Never Try,COIN,,,188639,False,,,,,
76C33AeIvqOCtrpwl0ERwi,Careless,1,"Girl, Say",Vacation Manor,,,195240,False,,,,,
0gMW8XpPFPjoApDii5Tj1u,Waving Through A Window,1,Dear Evan Hansen (Original Broadway Cast Recording),Ben Platt,Original Broadway Cast of Dear Evan Hansen,,236360,False,,,,,
5UXJzLFdBn6u9FJTCnoHrH,Memories,2,Superache,Conan Gray,,,248818,False,pop rock,psychedelic,pop,folk,indie rock
0XbNKiLVi5NnQ8sKvmoj14,I Feel Good About This,1,I Was Starting to Wonder,The Mowgli's,,,201527,False,,,,,
64TjzuxG5PJ7payjphrOC0,South,3,South - Single,Hippo Campus,,,231468,False,,,,,
09akcdeCiV2jIl6x9WpmxA,"don't worry, you will",1,everything i could never say...,lovelytheband,,,197000,False,,,,,
277XsneDiv30dhONPCOmrF,Off She Goes,1,Disappear Here,Bad Suns,,,236440,False,,,,,
6EragklQctpeMDKJdZLmRO,Time Machine,1,COIN,COIN,,,219520,False,,,,,
7avBmZmaNEifHGGBdcuAfV,Just Friends,1,Hartland St.,Virginia To Vegas,,,169533,True,,,,,
4DZghpw50ZnO3ckfDuNkft,New Religion,1,New Religion,The Heydaze,,,203586,False,,,,,
41d2Q6DHcM20OdzynkRtvf,Daft Pretty Boys,1,Disappear Here,Bad Suns,,,187013,True,,,,,
2QwpEi3eNToZCCMMRcOj0u,2 / 14,1,My Thoughts On You,The Band CAMINO,,,163690,False,,,,,
5lO1htX1UPjwyItDLurhR5,baseball,3,warm glow,Hippo Campus,,,198106,False,,,,,
6iCJCZqDJjmBxt07Oid6FI,Buttercup,2,Landmark,Hippo Campus,,,226610,False,,,,,
2PoqubfYq2Cl0nUyrrTht6,Swimming In The Moonlight,1,Disappear Here,Bad Suns,,,221280,False,,,,,
15jIpgBlSbxsPVsKPNYkNp,Boyfriend,1,How Will You Know If You Never Try,COIN,,,179013,False,,,,,
5zYduVIUSgSWmv56IwBmRl,Silhouettes,1,When I Was Younger,Colony House,,,177773,False,,,,,
2cvOfKHOHgwQlLiuLKP2xR,Myself,1,Hollywood's Bleeding,Post Malone,,,158120,True,,,,,
5SN3mwuodiwY3jPejBuUD5,Crash My Car,1,Dreamland,COIN,,,188306,False,,,,,
7fc5kWes8Og0UNQM1TxuAQ,Cemetery,1,Dreamland,COIN,,,177106,False,,,,,
1zLEXRNVucrDxxI1qmGO9Z,Sunroof,1,Denial in Paradise,courtship.,,,192197,False,,,,,
6B3VHoemogRyAp6VokPNKF,Growing Pains,2,Growing Pains,COIN,,,211533,False,,,,,
1bPJ6Ay1La8IYPCuCvQA7k,coachella,1,finding it hard to smile,lovelytheband,,,226434,False,,,,,
0Z0iYAtKYswMYXL3kJtdO4,Chasin' Honey,1,Phantom Pop,Wild Party,,,189960,False,,,,,
1xTzawfua1fBidHKBNQmhK,With Love,1,With Love,HARBOUR,,,217381,False,,,,,
7eWLqTeJNWMJKSMkB55WQo,People Watching,1,So Social,Smallpools,,,219354,False,,,,,
0ir8h6HSxpbCgAlfv1RKPb,Smells Like Summer,1,Smells Like Summer,Early Hours,,,249800,False,,,,,
0WFOl7P9gowO92fuI0eJIZ,Stars In The Sky - From Sonic The Hedgehog 2,1,Stars In The Sky (From Sonic The Hedgehog 2),Kid Cudi,,,185668,False,,,,,
7GjEdHN4aS5sY48vA9qQ8N,Less Than Zero,1,Pop Blockbusters 4,The Weeknd,,,211814,False,rnb,synthpop,synthwave,synth-pop,The Weeknd
67Un4gQz79ZKRFSxZPB9pB,$20,1,$20,Olen,Olivver the Kid,1990nowhere,155486,True,,,,,
4cgYbh6EEm3LgdF8ao5sTg,Signal,1,Signal,DIPPYAMN,,,205714,True,,,,,
7CH99b2i1TXS5P8UUyWtnM,Them Changes,2,Drunk,Thundercat,,,188453,False,funk,2015,soul,Neo-Soul,WSUM 91.7 FM Madison
7HieNXpvYAg4bR7GeA3fxw,nevermind,1,sucks to see you doing better (extended),Valley,,,176421,True,,,,,
3X7v1y9g6psZQjZZwtZkm4,Listerine,1,Fuzzybrain,Dayglow,,,215555,False,,,,,
0PgYPBGqF6Wm5KFHQ81nq5,comethru (with Bea Miller),1,comethru,Jeremy Zucker,Bea Miller,,181626,False,,,,,
5naar7XewEOAjOywIp6Jjq,Remember When,4,Nothing Happens,Wallows,,,155146,False,WSUM 91.7 FM Madison,The Rewind,indie,rock,indie rock
3X3mfRMRaPJRiIMDMQtSkd,Landslide,1,Oh Wonder,Oh Wonder,,,208229,False,,,,,
2X485T9Z5Ly0xyaghN73ed,Let It Happen,1,Currents,Tame Impala,,,467586,False,psychedelic,indie,2015,Psychedelic Rock,electronic
5Bge1Dsqjc14hhGguYML5w,Why Do You Feel So Down,1,What Do You Think About the Car?,Declan McKenna,,,220700,False,,,,,
4SqWKzw0CbA05TGszDgMlc,I Love You So,3,I Love You So,The Walters,,,160239,False,indie pop,indie,indie rock,pop rock,alternative rock
25FTMokYEbEWHEdss5JLZS,Teenage Dirtbag,3,Wheatus,Wheatus,,,241666,False,rock,alternative,alternative rock,90s,pop
1Ug5wxoHthwxctyWTUMGta,1901,3,Wolfgang Amadeus Phoenix,Phoenix,,,193106,False,indie,indie pop,electronic,french,dance
7to68V64Cu6zk0UDo5tyw3,Confidence,1,Chiaroscuro,Ocean Alley,,,253076,False,,,,,
3EaJDYHA0KnX88JvDhL9oa,Dark Red,1,Dark Red,Steve Lacy,,,173104,False,rnb,indie pop,bedroom pop,rock,pop
